Student_ID,Age,Usage_of_VR_in_Education,Hours_of_VR_Usage_Per_Week,Engagement_Level,Improvement_in_Learning_Outcomes,Perceived_Effectiveness_of_VR,Access_to_VR_Equipment,Impact_on_Creativity,Collaboration_with_Peers_via_VR,Interest_in_Continuing_VR_Based_Learning,School_Support_for_VR_in_Curriculum,VR_Engagement_Score,Gender_Male,Gender_Non-binary,Gender_Prefer not to say,Grade_Level_Postgraduate,Grade_Level_Undergraduate,Field_of_Study_Business,Field_of_Study_Education,Field_of_Study_Engineering,Field_of_Study_Law,Field_of_Study_Medicine,Field_of_Study_Science,Subject_Biology,Subject_Computer Science,Subject_Economics,Subject_History,Subject_Math,Subject_Physics,Instructor_VR_Proficiency_Beginner,Instructor_VR_Proficiency_Intermediate,Stress_Level_with_VR_Usage_Low,Stress_Level_with_VR_Usage_Medium,Feedback_from_Educators_on_VR_Neutral,Feedback_from_Educators_on_VR_Positive,Region_Asia,Region_Europe,Region_North America,Region_Oceania,Region_South America,VR_Hours_Science,VR_Hours_Medicine,VR_Hours_Engineering,VR_Hours_Arts,VR_Hours_Business,VR_Hours_Education,VR_Hours_Law
STUD0001,13,False,0.3103325200240474,-1.416325014634482,True,0.03414503553883489,True,5,False,No,False,-0.9390720208083575,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,6,0,0,0,0,0,0
STUD0002,16,False,0.3103325200240474,-1.416325014634482,True,-0.6713309053461836,True,3,True,No,False,-1.0982907425459563,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0
STUD0003,15,False,-0.32650827624939294,1.3863365360422413,True,1.4450969173088717,True,2,True,Yes,False,2.5637398574188155,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0
STUD0004,24,True,-0.9633490725228332,0.6856711483730604,False,1.4450969173088717,False,3,False,No,True,1.7676462487308215,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0
STUD0005,22,True,1.584014112570928,-0.014994239296120374,False,0.7396209764238533,True,1,False,Yes,True,0.49389647483003146,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,10,0,0,0
STUD0006,28,True,1.584014112570928,1.3863365360422413,False,-1.376806846231202,True,1,False,No,True,-0.62063457733316,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,10,0,0,0,0,0,0
STUD0007,19,True,1.2655937144342078,0.6856711483730604,True,0.7396209764238533,True,5,True,No,True,1.1307713617804265,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,9,0,0
STUD0008,19,False,-1.2817694706595533,1.3863365360422413,False,1.4450969173088717,True,2,False,Yes,False,2.5637398574188155,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
STUD0009,29,True,-1.6001898687962735,-0.7156596269653012,True,-0.6713309053461836,False,2,True,Yes,False,-0.7798532990707587,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
STUD0010,16,True,1.584014112570928,1.3863365360422413,True,0.7396209764238533,False,1,True,Yes,False,1.7676462487308215,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,10,0,0,0,0
